GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reporting/ogham-core,fr.sii.ogham.core.message.content,MultiContent,31,61,2,0,6,13,3,7,2,7
reporting/ogham-core,fr.sii.ogham.core.message.content,EmailVariant,0,24,0,0,0,3,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.message.content,ParsedContent,47,59,5,5,9,12,10,6,5,6
reporting/ogham-core,fr.sii.ogham.core.message.content,TemplateContent,0,96,0,0,0,17,0,9,0,9
reporting/ogham-core,fr.sii.ogham.core.message.content,MultiTemplateContent,35,63,0,2,8,12,4,6,4,5
reporting/ogham-core,fr.sii.ogham.core.message.content,TemplateVariantContent,71,37,0,0,9,7,5,3,5,3
reporting/ogham-core,fr.sii.ogham.core.message.content,StringContent,0,40,0,0,0,10,0,7,0,7
reporting/ogham-core,fr.sii.ogham.core.message.content,StringTemplateContent,8,8,0,0,2,2,1,1,1,1
reporting/ogham-core,fr.sii.ogham.email.exception.attachment.translator,ResourceTranslatorException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredPropertiesAnnotationProvider,0,72,0,6,0,12,0,5,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,AnnotationConditionProvider,0,73,0,0,0,12,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredPropertyAnnotationProvider,0,238,0,16,0,30,0,14,0,6
reporting/ogham-core,fr.sii.ogham.core.condition.provider,ActivableAtRuntimeConditionProvider,0,15,0,2,0,4,0,3,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,ImplementationConditionProvider,0,37,0,0,0,8,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredClassAnnotationProvider,0,74,0,6,0,11,0,6,0,3
reporting/ogham-core,fr.sii.ogham.core.condition.provider,RequiredClassesAnnotationProvider,0,69,0,6,0,11,0,5,0,2
reporting/ogham-core,fr.sii.ogham.core.condition.provider,StaticConditionProvider,9,0,0,0,4,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.core.convert,DefaultConverter,0,36,0,0,0,7,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.convert,StringToURLConverter,0,46,0,8,0,8,0,7,0,3
reporting/ogham-core,fr.sii.ogham.core.convert,StringToArrayConverter,0,66,1,5,0,15,1,6,0,4
reporting/ogham-core,fr.sii.ogham.core.convert,StringToBooleanConverter,22,75,5,5,4,18,4,5,0,4
reporting/ogham-core,fr.sii.ogham.core.convert,StringToNumberConverter,0,293,2,66,0,60,2,39,0,7
